phen_name	herb_name
Tremor	Paspalum scrobiculatum
Tremor	Piper methysticum
Tremor	Areca catechu
Tremor	Inocybe farinosipes
Tremor	Cascadia
Tremor	Dichapetalum cymosum
Tremor	Erica
Tremor	Juglans
Tremor	Uncaria rhynchophylla
Tremor	Cynodon dactylon
Tremor	Danae
Tremor	Rhodiola rosea
Tremor	Mitragyna speciosa
Tremor	Cortinarius caesiocinctus
Tremor	Azadirachta indica
Tremor	Cortinarius ceskae
Tremor	Sinningia bragae
Tremor	Melissa officinalis
Tremor	Alocasia macrorrhizos
Tremor	Crocus sativus
Tremor	Nicotiana tabacum
Tremor	Serendipita herbamans
Tremor	Inosperma lanatodiscum
Tremor	Mucuna pruriens
Tremor	Mucuna
Tremor	Ipomoea trifida
Tremor	Ipomoea carnea
Muscle Rigidity	Cibotium barometz
Muscle Rigidity	Pentanema britannicum
Muscle Rigidity	Inula japonica
Muscle Rigidity	Calystegia pubescens
Muscle Rigidity	Schizonepeta tenuifolia
Muscle Rigidity	Styphnolobium japonicum
Muscle Rigidity	Ovis aries
Muscle Rigidity	Persicaria perfoliata
Muscle Rigidity	Bufo gargarizans
Muscle Rigidity	Melia azedarach
Muscle Rigidity	Melia azedarach var. toosendan
Muscle Rigidity	Capra hircus
Muscle Rigidity	Cucumis melo
Muscle Rigidity	Cerus
Muscle Rigidity	Canis lupus familiaris
Muscle Rigidity	Amynthas aspergillus
Muscle Rigidity	Lumbricus
Muscle Rigidity	Mauremys reevesii
Muscle Rigidity	Prunus persica
Muscle Rigidity	Glechoma hederacea
Muscle Rigidity	Glechoma longituba
Muscle Rigidity	Areca catechu
Muscle Rigidity	Spiraea blumei
Muscle Rigidity	Verbena officinalis
Muscle Rigidity	Lima
Muscle Rigidity	Potentilla discolor
Muscle Rigidity	Strychnos ignatii
Muscle Rigidity	Hydrangea febrifuga
Muscle Rigidity	Spiraea prunifolia
Muscle Rigidity	Vincetoxicum atratum
Muscle Rigidity	Orixa japonica
Muscle Rigidity	Clerodendrum trichotomum
Muscle Rigidity	Bupleurum falcatum
Muscle Rigidity	Bupleurum chinense
Muscle Rigidity	Enterobacter quasihormaechei
Muscle Rigidity	Bupleurum euphorbioides
Muscle Rigidity	Bupleurum latissimum
Muscle Rigidity	Bupleurum longiradiatum
Muscle Rigidity	Brucea javanica
Muscle Rigidity	Commelina communis
Muscle Rigidity	Minium
Muscle Rigidity	Agrimonia pilosa
Muscle Rigidity	Inula helenium
Muscle Rigidity	Rhagadotarsus kraepelini
Muscle Rigidity	Panthera
Muscle Rigidity	Hemitrygon akajei
Muscle Rigidity	Andrias davidianus
Muscle Rigidity	Glaucidium cuculoides
Muscle Rigidity	Upupa epops
Muscle Rigidity	Artemisia apiacea
Muscle Rigidity	Allium sativum
Muscle Rigidity	Ranunculus ternatus
Muscle Rigidity	Hydrangea macrophylla
Muscle Rigidity	Cannabis sativa
Muscle Rigidity	Ficus pumila
Muscle Rigidity	Anguilla japonica
Muscle Rigidity	Iris lactea
Muscle Rigidity	Bos taurus
Muscle Rigidity	Bubalus bubalis
Muscle Rigidity	Sigesbeckia glabrescens
Muscle Rigidity	Persicaria orientalis
Muscle Rigidity	Ranunculus sceleratus
Muscle Rigidity	Artemisia annua
Muscle Rigidity	Alcea rosea
Muscle Rigidity	Dioscorea nipponica
Muscle Rigidity	Dioscorea quinquelobata
Muscle Rigidity	Morpho
Muscle Rigidity	Hyoscyamus niger
Muscle Rigidity	Inula salicina
Muscle Rigidity	Phyllostachys nigra
Muscle Rigidity	Pleioblastus amarus
Muscle Rigidity	Veratrum nigrum
Muscle Rigidity	Galloisiana odaesanensis
